ZIP Code,Cases,Deaths
27314,50,1
27312,761,23
27278,1332,13
27252,75,2
27243,218,3
27231,94,
27053,138,1
27022,75,1
28735,5,
28718,14,
28702,13,
28579,19,
28577,10,
28553,13,
28308,6,
27964,15,
27950,35,
27936,21,1
27531,9,
27503,136,
27709,108,
