RptDt,GEOID,GEOName,POS_CUM_CP,POS_NEW_CP,POS_7DAYAVG_CP,DTH_CUM_CP,DTH_NEW_CP,DTH_7DAYAVG_CP,DTH_OVER_30DAYS_CP,DTH_CP_Daily,TESTS_POS_CONF,TESTS_POS_CONF_NEW,TESTS_POS_CONF_7DAYAVG,PercentNAATPos,NEG_7DAYAVG,TESTS_CUM,TESTS_NEW,TESTS_7DAYAVG,POS_CUM_CONF,POS_NEW_CONF,POS_7DAYAVG_CONF,POS_CUM_PROB,POS_NEW_PROB,POS_7DAYAVG_PROB,DTH_CUM_CONF,DTH_NEW_CONF,DTH_7DAYAVG_CONF,DTH_CONF_Daily,DTH_CUM_PROB,DTH_NEW_PROB,DTH_7DAYAVG_PROB,DTH_PROB_Daily,POS_MALE_CP,POS_FEM_CP,POS_OTH_CP,POS_0_9_CP,POS_10_19_CP,POS_20_29_CP,POS_30_39_CP,POS_40_49_CP,POS_50_59_CP,POS_60_69_CP,POS_70_79_CP,POS_80_89_CP,POS_90_CP,DTHS_FEM_CP,DTHS_MALE_CP,DTHS_OTH_CP,DTHS_0_9_CP,DTHS_10_19_CP,DTHS_20_29_CP,DTHS_30_39_CP,DTHS_40_49_CP,DTHS_50_59_CP,DTHS_60_69_CP,DTHS_70_79_CP,DTHS_80_89_CP,DTHS_90_CP,POS_AIAN_CP,POS_ASN_CP,POS_BLK_CP,POS_WHT_CP,POS_MLTOTH_CP,POS_UNK_CP,POS_E_HSP_CP,POS_E_NHSP_CP,POS_E_UNK_CP,DTH_AIAN_CP,DTH_ASN_CP,DTH_BLK_CP,DTH_WHT_CP,DTH_MLTOTH_CP,DTH_UNK_CP,DTH_E_HSP_CP,DTH_E_NHSP_CP,DTH_E_UNK_CP,POS_HC_Y_CP,POS_HC_N_CP,POS_HC_UNK_CP,HOSP_YES_CP,HOSP_NO_CP,HOSP_UNK_CP,Date,POP,POP_MOE,OBJECTID,GEO,ShapeSTArea,ShapeSTLength
2022/04/19 19:00:00+00,53959,53959,3483,0,1.29,32,0,0,0,0,,,,,7.57,37163,6,27,3301,0,1.29,182,0,0,30,0,0,0,2,0,0,0,1586,1890,7,235,466,532,635,541,459,329,174,84,27,13,18,-999,-999,-999,-999,-999,-999,-999,-999,7,7,6,46,20,46,3157,152,62,285,2910,288,-999,-999,-999,30,-999,-999,-999,28,-999,145,1350,1988,141,1959,1383,2022/04/18 06:00:00+00,13999,269,457,ZCTA,548733597.789062,210758.751118705
2022/04/19 19:00:00+00,53960,53960,761,0,0.14,3,0,0,0,0,,,,,1.29,7811,2,4.29,723,0,0.14,38,0,0,3,0,0,0,0,0,0,0,371,389,1,63,119,124,128,95,108,72,38,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,710,21,18,20,653,88,-999,-999,-999,-999,-999,-999,-999,-999,-999,28,271,462,34,329,398,2022/04/18 06:00:00+00,3446,193,458,ZCTA,453899068.070312,151457.21691821
2022/04/19 19:00:00+00,53961,53961,166,0,0.29,0,0,0,0,0,,,,,0.71,1414,0,1.14,159,0,0.29,7,0,0,0,0,0,0,0,0,0,0,86,80,0,13,26,25,28,23,25,18,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,160,-999,-999,-999,157,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,73,88,7,95,64,2022/04/18 06:00:00+00,798,92,459,ZCTA,119735168.214844,99049.7138960305
2022/04/19 19:00:00+00,53963,53963,5756,1,1.29,42,0,0,0,0,,,,,6,57889,4,33,5193,0,0.86,563,1,0.43,37,0,0,0,5,0,0,0,3932,1815,9,244,493,1113,1344,1004,784,485,167,98,19,15,27,-999,-999,-999,-999,-999,-999,-999,15,6,13,-999,92,52,924,4108,395,185,335,4266,1155,-999,-999,-999,39,-999,-999,-999,42,-999,161,1672,3923,226,2575,2955,2022/04/18 06:00:00+00,13887,208,460,ZCTA,421896359.339844,178110.253913928
2022/04/19 19:00:00+00,53964,53964,872,1,0.71,16,0,0,0,0,,,,,0.86,6396,0,4.57,738,0,0.43,134,1,0.29,11,0,0,0,5,0,0,0,401,470,1,57,104,121,122,136,113,106,63,38,12,9,7,-999,-999,-999,-999,-999,-999,-999,-999,7,-999,-999,-999,-999,16,795,26,28,50,618,204,-999,-999,-999,16,-999,-999,-999,15,-999,50,575,247,53,798,21,2022/04/18 06:00:00+00,3606,223,461,ZCTA,568756600.78125,152651.946053621
2022/04/19 19:00:00+00,53965,53965,2874,1,1.57,31,0,0,0,0,,,,,5.29,25399,4,19,2695,1,1.57,179,0,0,31,0,0,0,0,0,0,0,1363,1502,9,206,390,464,452,390,416,305,168,66,17,15,16,-999,-999,-999,-999,-999,-999,-999,6,11,9,-999,118,25,90,2254,228,159,373,2127,374,-999,-999,-999,27,-999,-999,-999,26,-999,63,947,1864,124,1257,1493,2022/04/18 06:00:00+00,10450,415,462,ZCTA,862225631.1875,260475.605747914
2022/04/19 19:00:00+00,54473,54473,636,0,0.57,5,0,0,0,0,,,,,0.86,4635,0,3.57,560,0,0.43,76,0,0.14,5,0,0,0,0,0,0,0,296,338,2,47,58,96,106,112,103,56,47,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,579,13,40,9,499,128,-999,-999,-999,-999,-999,-999,-999,-999,-999,35,290,311,24,395,217,2022/04/18 06:00:00+00,2655,213,463,ZCTA,446307331.3125,156392.228584434
2022/04/19 19:00:00+00,54474,54474,1220,0,0.57,10,0,0,0,0,,,,,1.71,8797,0,5.29,1147,0,0.57,73,0,0,9,0,0,0,1,0,0,0,566,652,2,104,183,196,202,172,169,113,50,27,-999,5,5,-999,-999,-999,-999,-999,-999,-999,7,-999,-999,-999,-999,106,28,982,31,70,35,713,472,-999,-999,-999,6,-999,-999,-999,5,5,39,211,970,52,1168,0,2022/04/18 06:00:00+00,3874,277,464,ZCTA,23605080.1484375,28145.1017254642
2022/04/19 19:00:00+00,54475,54475,347,0,0.14,1,0,0,0,0,,,,,0.14,2224,0,2.29,329,0,0.14,18,0,0,1,0,0,0,0,0,0,0,171,176,0,40,40,48,52,55,53,34,15,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,320,8,14,10,251,86,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,199,123,9,236,102,2022/04/18 06:00:00+00,1575,144,465,ZCTA,190941147.046875,79029.7201699649
2022/04/19 19:00:00+00,54476,54476,6098,2,1.86,76,0,0,0,0,,,,,9,55355,5,54.14,5662,1,1.71,436,1,0.14,65,0,0,0,11,0,0,0,2815,3279,4,544,917,959,1038,858,787,485,249,177,83,42,34,-999,-999,-999,-999,-999,-999,6,7,16,21,23,26,607,100,4912,191,262,209,3939,1950,-999,-999,-999,66,5,-999,-999,62,14,221,1471,4406,265,5828,5,2022/04/18 06:00:00+00,19025,351,466,ZCTA,223572306.480469,101576.141303865
