Zipcode,Case Counts,Death Counts,Population,Median age,Under 18(%),18 to 64(%),65 and over(%),Male(%),Female(%),White(%),Black(%),Native(%),Asian(%),Islander(%),Two plus(%),Hispanic(%),Per capita income (USD),Median household income (USD),Below poverty line(%),Mean travel time to work (Minutes),Drove Alone (%),Carpooled (%),Public Transit (%),Bicycle (%),Walked (%),Other (%),Worked at home (%),Number of households,Persons per household,Married (%),Single (%),Number of housing units,Occupied housing (%),Vacant housing (%),Owner Occupied (%),Renter Occupied (%),Median housing value,Moved Since Prev Year(%),Same House Prev Year(%),No Degree(%),High School(%),Some College(%),Bachelor's(%),Post-grad(%),Foriegn Born Population(%),Europe(%),Asia(%),Africa(%),Oceania(%),Latin America(%),North America(%),Death Counts(Per 1000),Case Counts(Per 1000)
11368,31074,648,108661,33.7,26.15,64.56,9.29,52.32,47.68,4.36,7.21,0.14,12.42,0,0.53,74.94,19749.0,56904.0,18.27,44.66,14.45,6.11,63.24,0.79,11.49,0.39,2.47,28163.0,3.83,44.18,55.82,30189.0,93.29,6.71,20.43,79.57,621500.0,7.68,92.32,36.36,31.75,17.92,11.02,2.95,59.94,1.65,16.15,2.25,0,79.91,0.04,5.963501164171138,285.97196786335485
11369,11770,286,30693,40.5,20.21,62.99,16.81,50.48,49.52,8.96,15.08,0.21,14.59,0.02,1.59,59.25,25573.0,61860.0,14.03,44.39,28.65,7.06,50.66,1.12,5.64,0.3,5.31,9566.0,3.09,47.39,52.61,13891.0,68.86,31.14,59.42,40.58,613400.0,4.92,95.08,20.19,39.05,19.42,13.78,7.57,54.35,3.44,19.5,2.72,0.04,74.3,0,9.318085556967388,383.4750594598117
11370,9177,123,29366,37.5,14.69,71.73,13.58,58.8,41.2,25.15,13.78,0.21,23.34,0,1.03,36.4,24912.0,67582.0,7.62,42.4,30.38,5.26,51.02,0.84,4.07,0.09,7.23,7550.0,3.0,39.14,60.86,10989.0,68.71,31.29,52.79,47.21,768900.0,17.07,82.93,26.34,35.49,16.25,14.59,7.33,42.57,12.98,37.9,3.82,0,45.1,0.2,4.188517332970101,312.5042566233059
11372,18540,424,63107,40.5,20.33,65.27,14.4,50.23,49.77,18.77,2.23,0.08,21.09,0.11,3.07,54.27,32212.0,61239.0,13.96,41.28,13.5,5.17,62.22,0.94,9.53,0.37,6.89,23842.0,2.63,46.46,53.54,25717.0,92.71,7.29,33.28,66.72,378700.0,6.11,93.89,20.17,29.34,19.52,17.47,13.5,57.42,8.92,27.8,2.57,0.04,60.55,0.14,6.718747524046461,293.7867431505221
11373,28052,482,96495,37.8,20.71,65.96,13.33,48.87,51.13,5.43,1.42,0.39,49.31,0.03,1.42,41.77,24628.0,56835.0,11.25,42.64,15.95,4.54,67.04,0.39,6.82,0.22,4.17,31255.0,3.07,52.61,47.39,34328.0,91.05,8.95,30.79,69.21,612700.0,8.12,91.88,24.09,31.72,16.38,20.23,7.57,66.26,2.12,56.14,0.68,0,40.98,0.1,4.995077465153635,290.7093631794394
11374,12175,203,43173,41.6,17.79,63.01,19.2,46.3,53.7,40.62,3.94,0,32.12,0,4.34,18.29,41519.0,75266.0,11.42,43.75,21.35,3.77,55.81,0.15,6.81,0.69,10.2,19044.0,2.26,52.17,47.83,20535.0,92.74,7.26,41.42,58.58,433800.0,9.08,90.92,8.51,17.66,19.4,31.95,22.48,56.7,23.99,56.15,3.2,0.05,16.43,0.17,4.702012832094132,282.0049568017048
11375,16293,371,72615,43.8,17.92,62.37,19.71,47.2,52.8,49.6,2.73,0.05,28.39,0.01,3.73,15.24,53323.0,88117.0,7.62,45.8,23.69,4.5,55.57,0.29,5.43,0.26,9.57,32509.0,2.22,55.49,44.51,34783.0,93.46,6.54,52.09,47.91,468400.0,9.71,90.29,5.87,14.01,16.76,33.71,29.65,43.55,23.33,57.74,1.44,0.34,16.03,1.12,5.109137230599739,224.3751291055567
11377,25675,414,82021,40.5,16.51,66.96,16.53,50.64,49.36,19.89,1.96,0.03,36.38,0,2.26,39.05,31145.0,59910.0,9.76,35.68,19.4,5.09,61.24,0.94,7.66,0.43,4.34,31601.0,2.58,47.29,52.71,33644.0,93.93,6.07,31.44,68.56,570000.0,6.02,93.98,18.8,31.75,19.08,20.55,9.82,57.85,9.6,49.87,0.52,0.05,39.89,0.07,5.047487838480389,313.02958998305314
11378,10493,140,39033,38.8,23.08,64.44,12.48,49.48,50.52,50.83,1.03,0.14,12.14,0,1.52,33.71,33641.0,82326.0,9.14,42.83,38.69,7.11,43.4,0.65,5.7,0.63,3.45,12887.0,3.01,50.38,49.62,14180.0,90.88,9.12,54.42,45.58,673900.0,8.2,91.8,13.47,33.8,25.61,18.85,8.27,39.7,40.81,23.15,1.16,0,34.48,0.4,3.5867086823969463,268.82381574565113
11379,10181,214,37780,43.8,19.27,61.54,19.19,47.71,52.29,64.48,0.47,0.07,11.47,0,0.61,21.13,39221.0,89700.0,6.22,42.84,42.16,6.5,40.58,0.31,4.29,1.78,5.06,13561.0,2.76,55.63,44.37,14685.0,92.35,7.65,59.91,40.09,708700.0,7.61,92.39,13.19,27.67,22.86,22.26,14.02,36.51,48.31,23.08,0.49,0.12,27.85,0.15,5.664372683959767,269.48120698782424
