Zipcode,Population,Median age,Under 18(%),18 to 64(%),65 and over(%),Male(%),Female(%),White(%),Black(%),Native(%),Asian(%),Islander(%),Two plus(%),Hispanic(%),Per capita income (USD),Median household income (USD),Below poverty line(%),Mean travel time to work (Minutes),Drove Alone (%),Carpooled (%),Public Transit (%),Bicycle (%),Walked (%),Other (%),Worked at home (%),Number of households,Persons per household,Married (%),Single (%),Number of housing units,Occupied housing (%),Vacant housing (%),Owner Occupied (%),Renter Occupied (%),Median housing value,Moved Since Prev Year(%),Same House Prev Year(%),No Degree(%),High School(%),Some College(%),Bachelor's(%),Post-grad(%),Foriegn Born Population(%),Europe(%),Asia(%),Africa(%),Oceania(%),Latin America(%),North America(%),Death Counts,Death Counts(Per 1000),Case Counts,Case Counts(Per 1000),area,population_density
60609,60551,33.9,25.4,61.93,12.68,49.52,50.48,15.39,23.75,0.0,7.15,0.03,0.98,52.68,21017.0,40324.0,26.59,34.03,49.74,14.97,22.65,0.91,3.94,0.01,6.28,21967.0,2.74,38.38,61.62,25332.0,86.72,13.28,37.26,62.74,194500.0,12.16,87.84,26.71,35.0,22.16,10.01,6.12,26.4,2.36,19.26,0.91,0.0,77.11,0.36,208,3.44,13036,215.29,8,7568.9
60618,94646,34.4,21.99,69.18,8.83,49.82,50.18,47.94,2.33,0.08,6.59,0.05,3.46,39.29,47550.0,85443.0,8.89,35.87,47.56,7.85,26.48,1.42,3.12,0.26,12.3,35951.0,2.62,47.13,52.87,40079.0,89.7,10.3,49.32,50.68,434300.0,13.83,86.17,11.96,17.82,19.17,30.71,20.34,22.74,14.64,17.56,2.21,0.09,64.23,1.28,152,1.61,17657,186.56,5,18929.2
60616,52557,37.9,13.57,69.71,16.72,47.81,52.19,27.36,23.93,0.03,38.63,0.0,1.77,7.67,39779.0,61843.0,20.09,29.18,46.05,10.07,25.93,2.11,6.06,0.61,7.55,24470.0,2.04,40.94,59.06,26166.0,93.52,6.48,37.73,62.27,343900.0,15.86,84.14,15.44,17.61,18.24,22.58,26.14,37.07,8.03,79.44,5.32,0.64,5.35,1.23,110,2.09,8170,155.45,4,13139.2
60602,1596,34.0,7.21,92.54,0.25,53.38,46.62,49.75,2.32,12.84,27.26,0.0,0.31,7.52,193919.0,226276.0,0.63,41.37,6.02,0.0,27.57,0.0,27.71,1.4,37.3,977.0,1.59,68.47,31.53,1088.0,89.8,10.2,44.73,55.27,0.0,33.02,66.98,0.0,0.0,6.81,38.45,54.73,26.44,3.08,45.02,0.0,17.54,14.93,19.43,5,3.13,331,207.39,1,1596.0
60601,14513,34.2,5.68,76.37,17.95,45.61,54.39,59.35,4.68,0.07,24.31,0.0,2.69,8.56,110753.0,109625.0,8.9,27.76,20.62,1.06,16.95,1.36,41.84,0.34,13.69,8046.0,1.73,44.15,55.85,9570.0,84.08,15.92,31.66,68.34,540600.0,35.52,64.48,5.93,2.39,8.22,36.5,46.95,37.35,25.54,58.15,1.07,0.7,11.59,2.95,9,0.62,4120,283.88,1,14513.0
60608,80011,33.0,17.58,71.89,10.52,55.71,44.29,20.66,17.2,0.04,14.14,0.0,1.24,46.6,25703.0,57183.0,16.5,30.23,43.92,11.97,26.64,3.75,5.36,0.12,5.7,26211.0,2.65,36.5,63.5,28905.0,90.68,9.32,38.8,61.2,279300.0,16.27,83.73,26.3,24.63,17.89,20.42,10.76,28.52,2.99,31.6,1.38,0.15,63.74,0.14,174,2.17,15149,189.34,6,13335.2
60607,30306,30.4,11.09,83.6,5.31,50.8,49.2,53.02,12.8,0.08,21.17,0.06,3.47,9.13,61065.0,103173.0,18.35,27.22,28.9,3.49,25.6,2.22,25.75,0.28,11.2,13532.0,1.99,30.2,69.8,15170.0,89.2,10.8,42.22,57.78,433300.0,28.63,71.37,4.33,6.73,10.18,43.53,35.23,18.07,18.1,68.49,2.48,0.0,8.26,2.67,15,0.49,6114,201.74,2,15153.0
60606,3204,37.4,3.0,87.61,9.39,47.6,52.4,57.27,1.56,0.0,32.37,0.0,3.25,4.74,129890.0,121982.0,6.87,19.81,15.19,0.64,9.7,1.63,51.72,0.81,19.68,2327.0,1.38,31.98,68.02,2734.0,85.11,14.89,33.95,66.05,338700.0,27.11,72.89,0.65,1.47,3.72,39.88,54.28,28.37,18.04,68.43,0.99,0.0,10.78,1.76,2,0.62,835,260.61,1,3204.0
60827,28327,32.0,30.29,59.04,10.67,44.54,55.46,2.28,89.53,0.15,0.01,0.0,1.32,6.57,19581.0,34878.0,30.66,38.42,64.4,8.44,20.38,0.0,2.88,0.14,1.59,10485.0,2.69,26.06,73.94,12664.0,82.79,17.21,40.83,59.17,94300.0,13.93,86.07,11.64,30.08,43.56,8.09,6.63,2.59,3.81,5.59,29.84,0.0,60.76,0.0,53,1.87,901,31.81,7,4046.7
60630,55692,40.1,20.24,63.45,16.3,49.32,50.68,55.5,1.94,0.08,12.17,0.08,2.72,27.17,37240.0,78703.0,7.08,35.33,62.37,7.77,19.92,0.79,1.48,0.34,6.84,20868.0,2.66,51.84,48.16,22739.0,91.77,8.23,66.46,33.54,307600.0,10.78,89.22,9.34,24.71,23.54,27.92,14.49,30.06,31.49,32.31,4.24,0.02,31.5,0.44,175,3.14,11795,211.79,5,11138.4
