Zipcode,Population,Median age,Under 18(%),18 to 64(%),65 and over(%),Male(%),Female(%),White(%),Black(%),Native(%),Asian(%),Islander(%),Two plus(%),Hispanic(%),Per capita income (USD),Median household income (USD),Below poverty line(%),Mean travel time to work (Minutes),Drove Alone (%),Carpooled (%),Public Transit (%),Bicycle (%),Walked (%),Other (%),Worked at home (%),Number of households,Persons per household,Married (%),Single (%),Number of housing units,Occupied housing (%),Vacant housing (%),Owner Occupied (%),Renter Occupied (%),Median housing value,Moved Since Prev Year(%),Same House Prev Year(%),No Degree(%),High School(%),Some College(%),Bachelor's(%),Post-grad(%),Foriegn Born Population(%),Europe(%),Asia(%),Africa(%),Oceania(%),Latin America(%),North America(%),Case Counts,Death Counts,Death Counts(Per 1000),Case Counts(Per 1000)
10027,64728,31.1,17.39,71.55,11.05,47.08,52.92,25.97,36.81,0.28,8.43,0.01,2.7,25.13,37106.0,57010.0,22.56,33.58,6.23,0.84,59.95,2.0,16.66,0.66,13.35,23835.0,2.39,27.0,73.0,26597.0,89.62,10.38,13.17,86.83,730300.0,16.3,83.7,12.63,20.27,16.63,24.36,26.11,24.72,11.72,26.5,14.63,0.68,43.64,2.83,14531.0,226.0,3.4915338029909777,224.49326412062786
10028,47962,40.0,14.98,65.18,19.84,44.33,55.67,79.83,1.01,0,10.05,0,1.67,7.4,119570.0,131013.0,5.26,31.71,4.75,2.26,57.0,1.18,17.27,0.04,14.06,24974.0,1.91,49.78,50.22,29193.0,85.55,14.45,33.68,66.32,1301100.0,13.67,86.33,2.16,5.27,10.6,35.14,46.84,19.47,41.4,32.52,3.81,0.72,15.73,5.82,9821.0,81.0,1.688836995955131,204.7662732996956
10029,74617,37.2,19.32,65.38,15.3,44.88,55.12,15.43,26.41,0.11,10.66,0.04,1.28,44.86,32733.0,33801.0,31.09,35.48,6.04,0.8,67.85,1.68,14.2,1.22,7.32,31485.0,2.26,31.68,68.32,35038.0,89.86,10.14,6.78,93.22,651300.0,10.16,89.84,24.55,23.61,19.34,17.73,14.78,24.38,7.97,33.94,5.58,0.36,51.08,1.08,21341.0,429.0,5.749360065400646,286.00721015318226
10030,30996,36.4,19.06,68.63,12.31,43.79,56.21,10.01,54.79,0,3.33,0.01,3.76,27.63,34778.0,45555.0,26.71,38.25,9.19,2.23,68.32,1.82,9.68,0.46,7.76,12817.0,2.35,29.65,70.35,14119.0,90.78,9.22,13.64,86.36,659300.0,10.33,89.67,20.71,20.94,23.42,18.07,16.86,24.41,4.61,7.63,20.0,1.53,65.86,0.37,6857.0,126.0,4.065040650406504,221.2220931733127
10031,60280,34.8,16.06,72.9,11.03,49.54,50.46,18.6,24.51,0.08,3.73,0,2.61,49.68,32542.0,55721.0,23.41,39.19,4.94,1.82,73.09,1.29,6.12,0.79,11.47,21863.0,2.73,34.02,65.98,23809.0,91.83,8.17,13.77,86.23,494100.0,12.28,87.72,23.49,19.68,20.12,20.84,15.87,36.89,5.56,8.81,6.99,0.37,77.05,1.21,14051.0,251.0,4.1639017916390175,233.09555408095554
10032,59527,36.3,12.76,71.37,15.88,49.8,50.2,15.09,12.95,0.09,3.85,0.08,1.86,65.61,30838.0,53690.0,18.55,39.07,6.57,3.97,66.3,1.25,14.08,0.48,6.73,21814.0,2.67,31.93,68.07,23439.0,93.07,6.93,9.69,90.31,500800.0,13.09,86.91,29.1,16.76,19.52,21.73,12.89,46.33,3.2,6.8,3.12,0.14,86.33,0.41,14268.0,305.0,5.123725368320258,239.6895526399785
10033,58648,35.5,17.11,70.3,12.59,51.61,48.39,25.2,3.72,0,2.36,0,1.8,66.51,31673.0,66902.0,16.83,42.61,9.11,4.52,67.24,0.38,10.08,0.4,7.25,19689.0,2.93,37.34,62.66,21007.0,93.73,6.27,12.52,87.48,530600.0,11.03,88.97,25.07,18.19,18.66,22.34,15.74,43.46,6.91,4.74,1.33,0.49,85.93,0.6,13347.0,213.0,3.6318374028099853,227.57809302960032
10034,41933,36.4,18.88,68.27,12.84,48.02,51.98,19.32,5.84,0.09,2.89,0,1.79,69.75,32587.0,63556.0,17.25,45.64,9.37,3.87,65.27,0.3,9.93,0.32,8.23,15774.0,2.66,39.33,60.67,16677.0,94.59,5.41,8.67,91.33,397500.0,8.23,91.77,23.39,17.28,22.23,21.54,15.56,40.56,7.96,5.42,0.74,0.09,84.83,0.95,9611.0,142.0,3.386354422531181,229.19896024610688
10035,36999,36.3,19.76,66.76,13.48,48.8,51.2,12.13,35.5,0.07,3.36,0.01,2.02,45.41,26109.0,28408.0,35.04,37.95,7.5,1.46,72.38,2.16,7.72,1.5,7.08,14740.0,2.28,25.98,74.02,15730.0,93.71,6.29,8.32,91.68,642700.0,13.74,86.26,24.92,26.12,20.0,17.45,11.51,23.93,9.59,9.33,7.39,0.14,71.5,2.06,9467.0,263.0,7.108300224330387,255.87178031838698
10036,28231,37.7,6.59,79.91,13.5,53.81,46.19,52.23,5.81,0.17,19.58,0,4.44,17.68,87345.0,97720.0,13.19,28.42,3.16,1.56,44.69,2.43,31.25,0.09,11.37,17437.0,1.58,29.65,70.35,21262.0,82.01,17.99,8.62,91.38,1236900.0,22.82,77.18,7.65,8.48,12.27,39.76,31.84,33.14,20.83,49.76,2.96,2.03,20.23,4.19,11379.0,82.0,2.904608409195565,403.0675498565407
