Zipcode,Population,Median age,Under 18(%),18 to 64(%),65 and over(%),Male(%),Female(%),White(%),Black(%),Native(%),Asian(%),Islander(%),Two plus(%),Hispanic(%),Per capita income (USD),Median household income (USD),Below poverty line(%),Mean travel time to work (Minutes),Drove Alone (%),Carpooled (%),Public Transit (%),Bicycle (%),Walked (%),Other (%),Worked at home (%),Number of households,Persons per household,Married (%),Single (%),Number of housing units,Occupied housing (%),Vacant housing (%),Owner Occupied (%),Renter Occupied (%),Median housing value,Moved Since Prev Year(%),Same House Prev Year(%),No Degree(%),High School(%),Some College(%),Bachelor's(%),Post-grad(%),Foriegn Born Population(%),Europe(%),Asia(%),Africa(%),Oceania(%),Latin America(%),North America(%),Death Counts,Death Counts(Per 1000),Case Counts,Case Counts(Per 1000)
28160,3902,44.7,11.89,70.07,18.04,51.1,48.9,64.53,30.11,0.0,0.0,0.18,2.82,2.2,18051.0,30943.0,12.25,19.61,82.6,9.42,0.0,0.48,0.0,0.15,4.47,1614.0,2.26,42.18,57.82,1901.0,84.9,15.1,53.28,46.72,80000.0,16.09,83.91,17.31,31.84,31.0,14.98,4.87,1.9,33.78,0.0,0.0,0.0,66.22,0.0,9.0,2.306509482316761,479.0,122.75756022552538
28159,2838,36.8,21.18,62.3,16.53,52.5,47.5,55.81,34.92,0.0,2.61,0.0,2.4,4.26,24462.0,53495.0,22.2,21.38,80.94,3.24,2.6,0.0,1.87,4.54,6.81,1088.0,2.54,38.92,61.08,1296.0,83.95,16.05,56.71,43.29,105100.0,8.85,91.15,24.23,28.16,27.56,14.61,5.44,3.56,0.0,88.12,0.0,0.0,11.88,0.0,14.0,4.933051444679352,342.0,120.50739957716702
28147,23162,40.4,24.0,60.52,15.48,51.88,48.12,62.95,16.56,0.25,1.57,0.05,1.52,16.97,25606.0,52268.0,16.29,24.15,82.45,12.09,0.25,0.17,1.78,0.14,2.57,8426.0,2.62,51.1,48.9,9541.0,88.31,11.69,68.06,31.94,160300.0,14.91,85.09,14.55,33.38,34.16,12.15,5.77,8.74,5.39,7.26,1.33,0.0,85.03,0.99,72.0,3.108539849753908,2828.0,122.09653743200067
28127,7227,49.7,15.79,62.71,21.5,55.4,44.6,79.63,12.47,0.84,3.02,0.0,1.7,2.34,35565.0,62330.0,9.66,28.37,88.54,3.54,0.0,0.0,2.74,1.42,3.76,2654.0,2.41,57.76,42.24,5097.0,52.07,47.93,84.1,15.9,169200.0,10.89,89.11,13.25,28.31,38.39,13.57,6.48,3.13,23.45,50.0,0.0,0.0,23.01,3.54,7.0,0.9685900096859,930.0,128.684101286841
28101,1170,42.0,20.26,61.88,17.86,43.42,56.58,99.57,0.0,0.43,0.0,0.0,0.0,0.0,42021.0,63750.0,2.31,29.23,86.48,7.16,0.0,0.0,0.6,0.4,5.37,547.0,2.14,58.5,41.5,573.0,95.46,4.54,82.63,17.37,277000.0,7.05,92.95,8.34,23.0,17.25,28.97,22.44,3.59,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8547008547008547,62.0,52.99145299145299
28088,2659,38.0,30.73,49.45,19.82,32.46,67.54,52.28,26.4,0.41,12.41,0.0,0.0,8.5,21240.0,56635.0,10.23,32.57,88.53,6.15,0.0,0.0,0.0,0.0,5.32,839.0,3.17,41.78,58.22,997.0,84.15,15.85,77.0,23.0,157800.0,27.98,72.02,7.62,30.59,44.0,14.55,3.24,8.35,13.06,60.81,0.0,0.0,26.13,0.0,1.0,0.376081233546446,311.0,116.96126363294472
28086,26490,43.2,20.32,62.17,17.5,48.1,51.9,78.69,15.6,0.25,0.71,0.0,0.92,3.77,23242.0,50106.0,18.19,25.2,82.4,10.02,0.26,0.0,2.32,0.06,3.73,9754.0,2.7,46.79,53.21,11040.0,88.35,11.65,71.96,28.04,134500.0,11.65,88.35,15.74,35.86,32.97,9.69,5.74,2.22,3.41,21.98,0.0,0.0,60.99,13.63,52.0,1.9630049075122689,2707.0,102.18950547376367
28039,89,23.9,23.6,57.3,19.1,46.07,53.93,0.0,34.83,0.0,0.0,0.0,0.0,0.0,9861.0,23854.0,65.17,0.0,41.46,58.54,0.0,0.0,0.0,65.17,0.0,29.0,3.07,0.0,100.0,36.0,80.56,19.44,58.62,41.38,86900.0,0.0,100.0,13.95,39.53,46.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.70786516853933,43.0,483.14606741573033
28034,18118,41.0,22.25,62.94,14.81,47.71,52.29,74.03,14.32,0.44,0.83,0.0,2.05,8.32,24894.0,53514.0,13.26,29.42,88.83,6.1,0.06,0.0,1.53,1.32,2.17,6703.0,2.66,55.32,44.68,7216.0,92.89,7.11,73.94,26.06,151600.0,13.03,86.97,16.81,33.44,35.33,10.09,4.33,4.55,2.18,16.75,0.12,1.46,73.79,5.7,27.0,1.4902307097913678,2027.0,111.87769069433712
27885,1164,51.8,10.22,48.97,40.81,47.68,52.32,63.83,24.31,0.0,0.0,0.0,3.61,8.25,21652.0,48029.0,16.31,18.72,97.66,2.34,0.0,0.0,0.0,0.0,0.0,572.0,1.95,61.8,38.2,760.0,75.26,24.74,69.41,30.59,86100.0,11.81,88.19,20.82,36.02,36.62,6.54,0.0,4.38,0.0,0.0,0.0,0.0,100.0,0.0,3.0,2.577319587628866,284.0,243.98625429553263
