Zipcode,Population,Median age,Under 18(%),18 to 64(%),65 and over(%),Male(%),Female(%),White(%),Black(%),Native(%),Asian(%),Islander(%),Two plus(%),Hispanic(%),Per capita income (USD),Median household income (USD),Below poverty line(%),Mean travel time to work (Minutes),Drove Alone (%),Carpooled (%),Public Transit (%),Bicycle (%),Walked (%),Other (%),Worked at home (%),Number of households,Persons per household,Married (%),Single (%),Number of housing units,Occupied housing (%),Vacant housing (%),Owner Occupied (%),Renter Occupied (%),Median housing value,Moved Since Prev Year(%),Same House Prev Year(%),No Degree(%),High School(%),Some College(%),Bachelor's(%),Post-grad(%),Foriegn Born Population(%),Europe(%),Asia(%),Africa(%),Oceania(%),Latin America(%),North America(%),Death Counts,Death Counts(Per 1000),Case Counts,Case Counts(Per 1000)
54756,891,51.6,17.17,54.77,28.06,50.39,49.61,90.68,0,0,0,0,5.27,4.04,33881,63750,6.83,23.74,82.72,7.99,0,0,4.1,0.65,4.54,420,2.12,64.34,35.66,474,88.61,11.39,77.38,22.62,182300,13.44,86.56,7.08,40.56,29.65,14.9,7.82,3.7,15.15,3.03,0,0,81.82,0,2,2.244668911,176,197.5308642
54757,3463,42.6,23.82,56.8,19.38,51.6,48.4,97.08,0.17,0.23,0.84,0,0.58,1.1,28337,57708,10.8,32.12,78.25,13.65,0.39,0,1.44,0.46,5.81,1402,2.47,61.63,38.37,2141,65.48,34.52,87.52,12.48,179900,9.54,90.46,9.31,36.26,33.4,11.75,9.27,1.41,8.16,63.27,0,0,24.49,4.08,5,1.443834825,772,222.928097
54758,4779,44.9,22.98,56.81,20.21,50.66,49.34,96.88,0.13,1.07,0.15,0,0.56,1.11,30240,63024,6.09,23.84,80.06,7.25,0,0,3.61,0.1,7.9,1974,2.42,60.89,39.11,2192,90.05,9.95,78.47,21.53,160000,11.11,88.89,6.85,41.36,31.55,13.03,7.21,0.77,70.27,18.92,0,0,5.41,5.41,12,2.510985562,1237,258.8407617
54759,1437,50.7,17.68,52.82,29.51,51.08,48.92,97.98,0.28,0,0.21,0.42,0.9,0.21,29945,56364,8.32,28.91,78.37,4.44,0,0.72,4.15,2.01,10.32,652,2.14,59.41,40.59,922,70.72,29.28,80.98,19.02,149400,8.39,91.61,10.1,35.13,33.18,16.5,5.1,1.25,50,16.67,0,0,0,33.33,2,1.391788448,317,220.598469
54760,235,54.5,16.6,45.96,37.45,40,60,100,0,0,0,0,0,0,26497,37500,5.05,21.57,85.19,1.23,0,0,0,0,13.58,104,1.9,46.8,53.2,104,100,0,40.38,59.62,155400,13.19,86.81,20,43.68,15.79,13.68,6.84,0,0,0,0,0,0,0,3,12.76595745,46,195.7446809
54829,5280,45.9,21.52,53.75,24.73,50.51,49.49,87.29,0.47,1.5,0.08,0,3.86,6.69,30356,47736,14.3,21.46,83.06,7.33,0.17,0,3.09,0.11,5.63,2266,2.31,54.28,45.72,3300,68.67,31.33,81.16,18.84,170700,10.11,89.89,10.05,31.87,35.47,15.27,7.35,2.86,14.57,2.65,9.27,0,72.19,1.32,17,3.21969697,1625,307.7651515
54830,2771,62.7,9.42,46.99,43.59,50.23,49.77,91.92,0.43,3.79,0.47,0,1.91,1.41,33137,54517,8.64,32.05,76.29,11.9,0.2,0,2.08,0.07,8.83,1461,1.9,63.79,36.21,5011,29.16,70.84,90.62,9.38,181000,9.11,90.89,5.27,34.24,36.67,16.5,7.33,1.66,15.22,28.26,0,0,43.48,13.04,9,3.247924937,637,229.8809094
54832,367,43.9,17.17,59.4,23.43,52.86,47.14,95.1,0,0.54,0,0,0,4.36,27057,51953,19.55,20.7,69.57,4.89,0,0,7.61,0,17.93,169,2.14,43.13,56.87,583,28.99,71.01,60.36,39.64,145800,1.91,98.09,3.98,25.1,35.86,25.9,9.16,0,0,0,0,0,0,0,0,0,102,277.9291553
54835,950,53.4,15.37,60.53,24.11,51.37,48.63,86.63,0.95,3.05,0.42,0,6.53,2.42,25659,37328,12.42,34.52,68.24,18.59,0.24,0,2.35,1.65,8.94,456,2.08,61.66,38.34,792,57.58,42.42,80.26,19.74,121900,15.91,84.09,11.56,47.08,31.2,7.8,2.37,2.53,8.33,16.67,0,0,37.5,37.5,2,2.105263158,205,215.7894737
54836,1042,42.2,28.98,55.18,15.83,54.03,45.97,92.51,0,0.29,0,0,2.69,4.51,40935,82396,4.16,31.16,84.67,8.44,0,0,0,1.56,5.33,421,2.48,65.25,34.75,518,81.27,18.73,98.57,1.43,168800,3.18,96.82,6.19,37.83,38.12,12.52,5.34,0,0,0,0,0,0,0,0,0,214,205.3742802
