Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
10/12/2021,378,6,23,95,78,77,53,35,21,15,4,0,199,176,3,64,16,105,126,24,43,0,0,1,2,0,1,1,1,0,2,4,0,2,0,3,1,0,0,0,1,3,4,5,4,4,2,0,11,12,0,8,1,11,2,1,0
03/23/2020,290,3,101,4,46,55,53,56,30,35,11,0,141,149,0,41,13,136,76,12,12,1,1,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,1,4,15,12,17,17,25,10,0,48,53,0,16,5,64,11,4,1
03/02/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
10/19/2021,322,2,21,77,61,64,42,29,29,14,6,0,183,138,1,49,11,67,121,28,46,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,0,4,1,5,3,3,2,3,0,13,8,0,3,0,12,5,1,0
09/17/2021,441,5,38,94,92,97,62,41,30,12,13,0,245,195,1,72,16,115,147,33,58,0,0,0,1,1,2,0,1,0,4,1,0,1,1,3,0,0,0,1,2,6,7,7,3,4,8,0,22,16,0,5,0,23,8,1,1
07/29/2021,326,1,17,49,90,92,48,28,12,7,0,0,174,150,2,68,11,99,93,19,36,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,4,4,6,0,1,0,9,8,0,2,2,11,1,0,1
02/21/2021,158,9,24,16,42,31,27,23,10,5,4,0,86,72,0,28,3,37,65,9,16,0,1,0,1,0,1,3,3,0,4,5,0,3,0,1,3,2,0,1,5,4,2,4,1,5,2,0,12,12,0,1,1,12,6,2,2
11/07/2020,1571,14,113,181,394,337,266,187,113,54,39,0,825,746,0,634,50,229,432,59,167,0,0,1,1,1,1,4,6,0,9,5,0,3,0,4,7,0,0,1,7,7,16,23,25,11,23,0,59,54,0,36,5,40,25,4,3
11/18/2020,2326,17,120,291,566,451,388,295,196,98,41,0,1181,1137,8,845,63,471,554,82,311,0,0,2,0,2,4,3,6,0,9,8,0,8,0,2,7,0,0,2,7,5,10,23,18,28,27,0,56,64,0,36,6,49,25,4,0
06/09/2021,64,4,8,11,14,7,12,10,4,3,3,0,33,30,1,17,2,24,16,2,3,0,0,0,0,1,1,0,2,0,2,2,0,0,0,3,1,0,0,0,1,1,1,3,1,0,1,0,3,5,0,4,0,2,2,0,0
